token,tokenToMatch,endReason,tag,tagIndex
At,at,s,considrd,0
the,the,s,considrd,0
top,top,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Hill,hill,s,,
going,going,s,,
to,to,s,considrd,0
Bissam,bissam,c,,
",",",",s,,
the,the,s,considrd,0
Cornets,cornets,s,,
sounding,sounding,s,,
in,in,s,considrd,0
the,the,s,considrd,0
Woods,woods,c,,
",",",",s,,
a,a,n,considrd,0
wild,wild,s,strd,0
man,man,s,,
came,came,s,,
forth,forth,s,,
and,and,s,,
uttered,uttered,s,strd,0
this,this,s,considrd,0
speech,speech,nn,,
I,i,s,considrd,0
Followed,followed,s,,
this,this,s,considrd,0
sound,sound,c,strd,0
",",",",s,,
as,as,s,considrd,0
enchanted,enchanted,c,,
;,;,s,,
neither,neither,s,,
knowing,knowing,s,,
the,the,s,considrd,0
reason,reason,s,,
why,why,c,,
",",",",s,,
nor,nor,s,,
how,how,n,,
to,to,s,considrd,0
be,be,s,strd,0
rid,rid,s,strd,0
of,of,s,considrd,0
it,it,c,,
:,:,s,,
unusual,unusual,s,strd,0
to,to,s,considrd,0
these,these,s,,
Woods,woods,c,,
",",",",s,,
and,and,s,,
(,(,c,,
I,i,s,considrd,0
fear,fear,c,strd,0
),),s,,
to,to,s,considrd,0
our,our,s,,
gods,gods,n,considrd,0
prodigious,prodigious,c,,
.,.,s,,
Syluanus,syluanus,s,,
whom,whom,s,,
I,i,s,considrd,0
honor,honor,c,strd,0
",",",",s,,
is,is,s,considrd,0
run,run,s,strd,0
into,into,s,considrd,0
a,a,s,considrd,0
Cave,cave,c,strd,0
:,:,s,,
Pan,pan,c,,
",",",",s,,
whom,whom,s,,
I,i,s,considrd,0
envy,envy,c,strd,0
",",",",n,,
courting,courting,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Shepherdess,shepherdess,c,strd,0
:,:,s,,
Envy,envy,s,strd,0
I,i,s,considrd,0
thee,thee,s,,
Pan,pan,c,,
?,?,s,,
No,no,c,considrd,0
",",",",s,,
pity,pity,s,strd,0
thee,thee,c,,
",",",",s,,
an,an,s,,
eie-sore,eie-sore,s,,
to,to,n,considrd,0
chaste,chaste,s,strd,0
Nymphs,nymphs,c,strd,0
;,;,s,,
yet,yet,s,,
still,still,s,,
importunate,importunate,c,,
:,:,s,,
Honor,honor,s,strd,0
thee,thee,s,,
Syluanus,syluanus,c,,
?,?,s,,
No,no,c,considrd,0
",",",",s,,
contemn,contemn,s,strd,0
thee,thee,c,,
:,:,n,,
fearful,fearful,s,strd,0
of,of,s,considrd,0
Music,music,s,strd,0
in,in,s,considrd,0
the,the,s,considrd,0
Woods,woods,c,,
",",",",s,,
yet,yet,s,,
counted,counted,s,,
the,the,s,considrd,0
god,god,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Woods,woods,c,,
.,.,s,,
I,i,c,considrd,0
",",",",s,,
it,it,s,,
may,may,n,,
be,be,s,strd,0
more,more,s,,
stout,stout,c,,
",",",",s,,
than,than,s,,
wise,wise,c,,
",",",",s,,
asked,asked,c,,
",",",",s,,
who,who,s,considrd,0
passed,passed,s,,
that,that,s,considrd,0
way,way,c,,
?,?,s,,
what,what,s,,
he,he,s,considrd,0
or,or,s,considrd,0
she,she,c,strd,0
?,?,s,,
none,none,n,,
durst,durst,s,,
answer,answer,c,strd,0
",",",",s,,
or,or,s,considrd,0
would,would,s,,
vouchsafe,vouchsafe,c,,
",",",",s,,
but,but,s,,
passionate,passionate,s,,
Echo,echo,c,strd,0
",",",",s,,
who,who,s,considrd,0
said,said,s,strd,0
She,she,c,strd,0
.,.,s,,
And,and,n,,
She,she,s,strd,0
it,it,s,,
is,is,c,considrd,0
",",",",s,,
and,and,s,,
you,you,s,considrd,0
are,are,s,,
She,she,c,strd,0
",",",",s,,
whom,whom,s,,
in,in,s,considrd,0
our,our,s,,
dreams,dreams,s,strd,0
many,many,s,,
years,years,s,strd,0
we,we,s,strd,0
Satyrs,satyrs,s,strd,0
have,have,n,strd,0
seen,seen,c,strd,0
",",",",s,,
but,but,s,,
waking,waking,s,,
could,could,s,,
never,never,s,strd,0
find,find,s,strd,0
any,any,s,,
such,such,c,,
.,.,s,,
Every,every,s,strd,0
one,one,s,,
has,has,s,strd,0
told,told,s,strd,0
his,his,s,considrd,0
dream,dream,n,strd,0
and,and,s,,
described,described,s,,
your,your,s,,
person,person,c,,
",",",",s,,
all,all,s,,
agree,agree,s,,
in,in,s,considrd,0
one,one,c,,
",",",",s,,
and,and,s,,
set,set,s,,
down,down,s,strd,0
your,your,s,,
virtues,virtues,c,strd,0
:,:,s,,
in,in,n,considrd,0
this,this,s,considrd,0
only,only,s,strd,0
did,did,s,,
we,we,s,strd,0
differ,differ,c,,
",",",",s,,
that,that,s,considrd,0
some,some,s,,
said,said,s,strd,0
your,your,s,,
Pourtraiture,pourtraiture,s,,
might,might,s,,
be,be,s,considrd,0
drawn,drawn,c,strd,0
",",",",n,,
other,other,s,,
said,said,s,strd,0
impossible,impossible,c,,
:,:,s,,
some,some,s,,
thought,thought,s,,
your,your,s,,
virtues,virtues,s,strd,0
might,might,s,,
be,be,s,considrd,0
numbered,numbered,c,strd,0
",",",",s,,
most,most,s,,
said,said,n,strd,0
they,they,s,considrd,0
were,were,s,,
infinite,infinite,c,,
:,:,s,,
Infinite,infinite,c,,
",",",",s,,
and,and,s,,
impossible,impossible,c,,
",",",",s,,
of,of,s,considrd,0
that,that,s,considrd,0
side,side,s,,
was,was,s,,
I,i,c,considrd,0
:,:,s,,
and,and,s,,
first,first,s,,
in,in,n,considrd,0
humility,humility,s,,
to,to,s,considrd,0
salute,salute,s,,
you,you,s,considrd,0
most,most,s,,
happy,happy,s,,
I,i,c,considrd,0
:,:,s,,
my,my,s,considrd,0
untamed,untamed,s,strd,0
thoughts,thoughts,s,,
wax,wax,s,strd,0
gentle,gentle,c,,
",",",",s,,
and,and,s,,
I,i,n,considrd,0
feel,feel,s,strd,0
in,in,s,considrd,0
my,my,s,considrd,0
self,self,s,strd,0
ciuility,ciuility,c,,
",",",",s,,
A,a,s,considrd,0
thing,thing,s,,
hated,hated,c,,
",",",",s,,
because,because,s,,
not,not,s,,
known,known,c,strd,0
",",",",s,,
and,and,s,,
unknown,unknown,c,strd,0
",",",",n,,
because,because,s,,
I,i,s,considrd,0
knew,knew,s,,
not,not,s,,
you,you,c,considrd,0
.,.,s,,
Thus,thus,s,,
Virtue,virtue,s,strd,0
tameth,tameth,s,,
fierceness,fierceness,c,strd,0
",",",",s,,
Beauty,beauty,c,,
",",",",s,,
madness,madness,c,strd,0
.,.,s,,
Your,your,n,,
Majesty,majesty,s,strd,0
on,on,s,,
my,my,s,considrd,0
knees,knees,s,,
will,will,s,,
I,i,s,considrd,0
follow,follow,c,strd,0
",",",",s,,
