token,tokenToMatch,endReason,tag,tagIndex
NAy,nay,c,,
",",",",s,,
faint,faint,s,,
not,not,s,,
now,now,c,,
",",",",s,,
so,so,s,,
near,near,s,strd,0
the,the,s,considrd,0
fields,fields,s,,
of,of,s,considrd,0
rest,rest,c,,
",",",",n,,
Here,here,s,,
no,no,s,considrd,0
more,more,s,,
furies,furies,c,,
",",",",s,,
no,no,s,considrd,0
more,more,s,,
torments,torments,s,,
dwell,dwell,c,,
",",",",n,,
Then,then,s,,
each,each,s,,
has,has,s,strd,0
felt,felt,s,,
already,already,s,,
in,in,s,considrd,0
his,his,s,considrd,0
breast,breast,c,strd,0
",",",",n,,
Who,who,s,considrd,0
has,has,s,strd,0
been,been,s,strd,0
once,once,s,,
in,in,s,considrd,0
love,love,c,strd,0
",",",",s,,
has,has,s,strd,0
proved,proved,s,strd,0
his,his,s,considrd,0
hell,hell,c,,
.,.,n,,
Up,up,s,strd,0
then,then,c,,
",",",",s,,
and,and,s,,
follow,follow,s,,
this,this,s,considrd,0
my,my,s,considrd,0
golden,golden,s,,
rod,rod,c,,
",",",",n,,
That,that,s,considrd,0
points,points,s,,
you,you,s,considrd,0
next,next,s,,
to,to,s,considrd,0
aged,aged,s,,
LETHES,lethes,s,,
shore,shore,c,,
",",",",n,,
Who,who,s,considrd,0
powers,powers,s,strd,0
his,his,s,considrd,0
waters,waters,s,,
from,from,s,,
his,his,s,considrd,0
vrne,vrne,s,,
abroad,abroad,c,,
",",",",n,,
Of,of,s,considrd,0
which,which,s,considrd,0
but,but,s,,
tasting,tasting,c,,
",",",",s,,
you,you,s,considrd,0
shall,shall,s,considrd,0
faint,faint,s,,
no,no,s,considrd,0
more,more,c,,
.,.,nn,,
Stay,stay,c,,
",",",",s,,
who,who,c,considrd,0
",",",",s,,
or,or,s,considrd,0
what,what,s,,
phantastique,phantastique,s,,
shades,shades,s,,
are,are,s,,
these,these,n,,
That,that,s,considrd,0
HERMES,hermes,s,,
leads,leads,c,strd,0
?,?,nn,,
They,they,s,considrd,0
are,are,s,,
the,the,s,considrd,0
gentle,gentle,s,,
forms,forms,c,strd,0
",",",",n,,
Of,of,s,considrd,0
Lovers,lovers,c,strd,0
",",",",s,,
tossed,tossed,s,strd,0
upon,upon,s,strd,0
those,those,s,,
frantique,frantique,s,,
seas,seas,c,,
",",",",n,,
Whence,whence,s,,
VENUS,venus,s,strd,0
sprung,sprung,c,,
.,.,nn,,
And,and,s,,
have,have,s,strd,0
rid,rid,s,,
out,out,s,,
her,her,s,,
storms,storms,c,strd,0
?,?,nn,,
No,no,c,considrd,0
.,.,nn,,
Did,did,s,,
they,they,s,considrd,0
perish,perish,c,,
?,?,nn,,
Yes,yes,c,,
.,.,nn,,
How,how,c,,
?,?,nn,,
Drowned,drowned,s,strd,0
by,by,s,considrd,0
love,love,c,strd,0
",",",",n,,
That,that,s,considrd,0
drew,drew,s,,
them,them,s,,
forth,forth,s,,
with,with,s,considrd,0
hopes,hopes,s,,
as,as,s,considrd,0
smooth,smooth,s,,
as,as,s,considrd,0
were,were,n,,
Th'vnfaithfull,th'vnfaithfull,s,,
waters,waters,s,,
he,he,s,considrd,0
desired,desired,s,strd,0
'hem,'hem,s,,
prove,prove,c,strd,0
.,.,nn,,
And,and,s,,
turned,turned,s,strd,0
a,a,s,considrd,0
tempest,tempest,s,,
when,when,s,,
he,he,s,considrd,0
had,had,s,considrd,0
'hem,'hem,s,,
there,there,c,considrd,0
?,?,nn,,
He,he,s,considrd,0
did,did,c,,
",",",",s,,
and,and,s,,
on,on,s,,
the,the,s,considrd,0
billow,billow,s,,
would,would,s,,
he,he,s,considrd,0
roll,roll,c,strd,0
",",",",n,,
And,and,s,,
laugh,laugh,c,,
",",",",s,,
to,to,s,considrd,0
see,see,s,,
one,one,s,,
throw,throw,s,,
his,his,s,considrd,0
heart,heart,s,,
away,away,c,,
",",",",n,,
Another,another,s,,
sighing,sighing,c,,
",",",",s,,
vapor,vapor,s,strd,0
forth,forth,s,,
his,his,s,considrd,0
soul,soul,c,strd,0
",",",",n,,
A,a,s,considrd,0
third,third,c,,
",",",",s,,
to,to,s,considrd,0
melt,melt,s,,
himself,himself,s,strd,0
