token,tokenToMatch,endReason,tag,tagIndex
THe,the,s,considrd,0
worthy,worthy,s,,
custom,custom,s,strd,0
of,of,s,considrd,0
honoring,honoring,s,strd,0
worthy,worthy,s,,
marriages,marriages,c,,
",",",",s,,
with,with,s,considrd,0
these,these,s,,
noble,noble,n,,
solemnities,solemnities,c,,
",",",",s,,
has,has,c,strd,0
",",",",s,,
of,of,s,considrd,0
late,late,s,,
years,years,c,strd,0
",",",",s,,
advanced,advanced,s,strd,0
it,it,s,,
self,self,s,strd,0
frequently,frequently,s,,
with,with,s,considrd,0
us,us,c,strd,0
;,;,s,,
to,to,s,considrd,0
the,the,n,considrd,0
reputation,reputation,s,,
no,no,s,considrd,0
less,less,s,strd,0
of,of,s,considrd,0
our,our,s,,
court,court,c,,
",",",",s,,
then,then,s,,
nobles,nobles,c,,
:,:,s,,
expressing,expressing,s,,
besides,besides,s,,
(,(,c,,
through,through,s,,
the,the,n,considrd,0
difficulties,difficulties,s,,
of,of,s,considrd,0
expense,expense,c,strd,0
",",",",s,,
and,and,s,,
travel,travel,c,strd,0
",",",",s,,
with,with,s,considrd,0
the,the,s,considrd,0
cheerfulness,cheerfulness,s,strd,0
of,of,s,considrd,0
vnder-taking,vnder-taking,c,,
),),n,,
a,a,s,considrd,0
most,most,s,,
real,real,s,strd,0
affection,affection,s,,
in,in,s,considrd,0
the,the,s,considrd,0
personators,personators,c,,
",",",",s,,
to,to,s,considrd,0
those,those,c,,
",",",",s,,
for,for,s,considrd,0
whose,whose,s,,
sake,sake,s,,
they,they,s,considrd,0
would,would,n,,
sustain,sustain,s,strd,0
these,these,s,,
persons,persons,c,,
.,.,s,,
It,it,s,,
behoues,behoues,s,,
then,then,s,,
us,us,c,strd,0
",",",",s,,
that,that,s,considrd,0
are,are,s,,
trusted,trusted,s,,
with,with,s,considrd,0
a,a,s,considrd,0
part,part,s,,
of,of,n,considrd,0
their,their,s,considrd,0
honor,honor,c,,
",",",",s,,
in,in,s,considrd,0
these,these,s,,
celebrations,celebrations,c,,
",",",",s,,
to,to,s,considrd,0
doc,doc,s,,
nothing,nothing,s,,
in,in,s,considrd,0
them,them,c,,
",",",",s,,
beneath,beneath,s,,
the,the,n,considrd,0
dignity,dignity,s,strd,0
of,of,s,considrd,0
either,either,c,,
.,.,s,,
With,with,s,considrd,0
this,this,s,considrd,0
preposed,preposed,s,,
part,part,s,,
of,of,s,considrd,0
judgment,judgment,c,strd,0
",",",",s,,
I,i,s,considrd,0
adventure,adventure,s,strd,0
to,to,s,considrd,0
give,give,n,strd,0
that,that,s,considrd,0
abroad,abroad,c,,
",",",",s,,
which,which,s,considrd,0
in,in,s,considrd,0
my,my,s,considrd,0
first,first,s,,
conception,conception,s,,
I,i,s,considrd,0
intended,intended,s,,
honorably,honorably,s,,
fit,fit,c,,
:,:,s,,
and,and,s,,
(,(,c,,
though,though,n,,
it,it,s,,
has,has,s,strd,0
labored,labored,s,strd,0
since,since,c,,
",",",",s,,
under,under,s,strd,0
censure,censure,c,,
),),s,,
I,i,c,considrd,0
",",",",s,,
that,that,s,considrd,0
know,know,s,,
Truth,truth,s,,
to,to,s,considrd,0
be,be,s,considrd,0
always,always,s,strd,0
of,of,s,considrd,0
one,one,n,,
stature,stature,c,,
",",",",s,,
and,and,s,,
so,so,s,,
like,like,s,,
a,a,s,considrd,0
rule,rule,c,,
",",",",s,,
as,as,s,considrd,0
who,who,s,considrd,0
bends,bends,s,,
it,it,s,,
the,the,s,considrd,0
least,least,s,,
way,way,c,,
",",",",s,,
must,must,s,,
needs,needs,s,strd,0
do,do,s,strd,0
an,an,n,,
injury,injury,s,strd,0
to,to,s,considrd,0
the,the,s,considrd,0
right,right,c,,
",",",",s,,
cannot,cannot,s,,
but,but,s,,
smile,smile,s,,
at,at,s,considrd,0
their,their,s,considrd,0
tyrannous,tyrannous,s,,
ignorance,ignorance,c,,
",",",",s,,
