token,tokenToMatch,endReason,tag,tagIndex
I,i,s,considrd,0
Have,have,s,strd,0
now,now,s,,
taken,taken,s,,
occasion,occasion,s,,
to,to,s,considrd,0
satisfy,satisfy,s,strd,0
many,many,c,,
",",",",s,,
who,who,s,considrd,0
long,long,s,,
since,since,s,,
were,were,s,,
desirous,desirous,s,,
that,that,n,considrd,0
the,the,s,considrd,0
Lords,lords,s,considrd,0
mask,mask,s,strd,0
should,should,s,,
be,be,s,considrd,0
published,published,c,,
",",",",s,,
which,which,s,considrd,0
(,(,c,,
but,but,s,,
for,for,s,considrd,0
some,some,s,,
private,private,s,strd,0
lets,lets,c,,
",",",",s,,
had,had,s,considrd,0
in,in,n,considrd,0
due,due,s,,
time,time,s,,
come,come,s,,
forth,forth,c,,
.,.,s,,
The,the,s,considrd,0
Scene,scene,s,,
was,was,s,,
divided,divided,s,strd,0
into,into,s,considrd,0
two,two,s,,
parts,parts,s,,
from,from,s,,
the,the,s,considrd,0
roof,roof,s,strd,0
to,to,s,considrd,0
the,the,n,considrd,0
floor,floor,c,strd,0
",",",",s,,
the,the,s,considrd,0
lower,lower,s,,
part,part,s,,
being,being,s,,
first,first,s,,
discovered,discovered,s,strd,0
(,(,c,,
upon,upon,s,strd,0
the,the,s,considrd,0
sound,sound,s,,
of,of,s,considrd,0
a,a,s,considrd,0
double,double,n,,
consort,consort,c,,
",",",",s,,
expressed,expressed,s,strd,0
by,by,s,considrd,0
several,several,s,strd,0
instruments,instruments,c,,
",",",",s,,
placed,placed,s,strd,0
on,on,s,,
either,either,s,,
side,side,s,,
of,of,s,considrd,0
the,the,s,considrd,0
room,room,c,strd,0
),),n,,
there,there,s,considrd,0
appeared,appeared,s,,
a,a,s,considrd,0
Wood,wood,s,,
in,in,s,considrd,0
prospectiue,prospectiue,c,,
",",",",s,,
the,the,s,considrd,0
innermost,innermost,s,,
part,part,s,,
being,being,s,,
of,of,s,considrd,0
releaue,releaue,c,,
",",",",s,,
or,or,n,considrd,0
whole,whole,s,,
round,round,c,,
",",",",s,,
the,the,s,considrd,0
rest,rest,s,,
painted,painted,c,,
.,.,s,,
On,on,s,,
the,the,s,considrd,0
left,left,s,,
hand,hand,s,,
from,from,s,,
the,the,s,considrd,0
seat,seat,s,strd,0
was,was,s,,
a,a,s,considrd,0
Cave,cave,c,strd,0
",",",",s,,
and,and,n,,
on,on,s,,
the,the,s,considrd,0
right,right,s,,
a,a,s,considrd,0
thicket,thicket,c,,
",",",",s,,
out,out,s,,
of,of,s,considrd,0
which,which,s,considrd,0
came,came,s,,
Orpheus,orpheus,c,,
",",",",s,,
who,who,s,considrd,0
was,was,s,,
attired,attired,s,,
after,after,s,,
the,the,c,considrd,0
*,*,n,,
old,old,s,,
Greek,greek,s,strd,0
manner,manner,c,,
",",",",s,,
his,his,s,considrd,0
hair,hair,s,strd,0
curled,curled,c,,
",",",",s,,
and,and,s,,
long,long,c,,
;,;,s,,
a,a,s,considrd,0
laurel,laurel,s,strd,0
wreath,wreath,s,,
on,on,s,,
his,his,s,considrd,0
head,head,c,,
;,;,n,,
and,and,s,,
in,in,s,considrd,0
his,his,s,considrd,0
hand,hand,s,,
he,he,s,strd,0
bare,bare,s,,
a,a,s,considrd,0
silver,silver,s,strd,0
bird,bird,c,,
",",",",s,,
about,about,s,,
him,him,s,,
tamely,tamely,s,,
placed,placed,s,,
several,several,s,strd,0
wild,wild,n,,
beasts,beasts,c,,
",",",",s,,
and,and,s,,
upon,upon,s,strd,0
the,the,s,considrd,0
ceasing,ceasing,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Consort,consort,s,,
Orpheus,orpheus,s,,
spoke,spoke,nn,strd,0
Again,again,c,strd,0
",",",",s,,
again,again,c,strd,0
",",",",s,,
fresh,fresh,s,,
kindle,kindle,s,,
Phoebus,phoebus,s,,
sounds,sounds,c,,
",",",",n,,
T'exhale,t'exhale,s,,
Mania,mania,s,,
from,from,s,,
her,her,s,,
earthie,earthie,s,,
den,den,c,,
;,;,n,,
Allay,allay,s,,
the,the,s,considrd,0
fury,fury,s,strd,0
that,that,s,considrd,0
her,her,s,,
sense,sense,s,,
confounds,confounds,c,,
",",",",n,,
And,and,s,,
call,call,s,,
her,her,s,,
gently,gently,s,,
forth,forth,c,,
",",",",s,,
sound,sound,c,,
",",",",s,,
sound,sound,c,,
",",",",s,,
again,again,c,strd,0
.,.,nn,,
The,the,s,considrd,0
Consorts,consorts,s,,
both,both,s,,
sound,sound,s,,
again,again,c,strd,0
",",",",s,,
and,and,s,,
Mania,mania,s,,
the,the,s,considrd,0
Goddess,goddess,s,strd,0
of,of,s,considrd,0
madness,madness,s,strd,0
appears,appears,n,strd,0
wildly,wildly,s,,
out,out,s,,
of,of,s,considrd,0
her,her,s,,
cave,cave,c,strd,0
.,.,s,,
Her,her,s,,
habit,habit,s,,
was,was,s,,
confused,confused,s,,
and,and,s,,
strange,strange,c,,
;,;,s,,
but,but,s,,
yet,yet,s,,
graceful,graceful,c,strd,0
",",",",n,,
she,she,s,strd,0
as,as,s,considrd,0
one,one,s,,
amazed,amazed,s,,
speaks,speaks,nn,,
What,what,s,,
powerful,powerful,s,strd,0
noise,noise,s,,
is,is,s,considrd,0
this,this,s,considrd,0
importunes,importunes,s,,
me,me,c,,
",",",",n,,
T'abandon,t'abandon,s,,
darkness,darkness,s,strd,0
which,which,s,considrd,0
my,my,s,considrd,0
humor,humor,s,strd,0
fits,fits,c,,
?,?,n,,
Jove's,jove's,s,strd,0
hand,hand,s,,
in,in,s,considrd,0
it,it,s,,
I,i,s,considrd,0
feel,feel,c,strd,0
",",",",s,,
and,and,s,,
ever,ever,s,strd,0
he,he,n,considrd,0
Must,must,s,,
be,be,s,considrd,0
obai'd,obai'd,s,,
even,even,s,strd,0
of,of,s,considrd,0
the,the,s,considrd,0
franticst,franticst,s,,
wits,wits,c,,
.,.,nn,,
Mania,mania,c,,
?,?,nn,,
Hah,hah,c,,
.,.,nn,,
Braine-sick,braine-sick,c,,
",",",",s,,
why,why,s,,
start'st,start'st,s,,
thou,thou,s,considrd,0
so,so,c,,
?,?,n,,
Approach,approach,s,strd,0
yet,yet,s,,
nearer,nearer,c,,
",",",",s,,
and,and,s,,
thou,thou,s,considrd,0
then,then,s,,
shall,shall,s,strd,0
know,know,n,,
The,the,s,considrd,0
will,will,s,,
of,of,s,considrd,0
Jove,jove,c,strd,0
",",",",s,,
which,which,s,considrd,0
he,he,s,considrd,0
will,will,s,,
breath,breath,s,,
from,from,s,,
me,me,c,,
",",",",nn,,
Who,who,s,considrd,0
art,art,s,,
thou,thou,c,considrd,0
?,?,s,,
if,if,s,,
my,my,s,considrd,0
dazeled,dazeled,s,,
eyes,eyes,s,,
can,can,s,,
see,see,c,,
",",",",n,,
Thou,thou,s,considrd,0
art,art,s,,
the,the,s,considrd,0
sweet,sweet,s,,
Enchanter,enchanter,s,,
heavenly,heavenly,s,strd,0
Orpheus,orpheus,c,,
.,.,nn,,
The,the,s,considrd,0
same,same,s,,
Mania,mania,c,,
",",",",s,,
and,and,s,,
Jove,jove,s,strd,0
greets,greets,s,,
thee,thee,s,,
thus,thus,c,,
",",",",n,,
Though,though,s,,
several,several,s,strd,0
power,power,s,,
to,to,s,considrd,0
thee,thee,c,,
",",",",s,,
and,and,s,,
charge,charge,s,,
he,he,s,considrd,0
gave,gave,c,strd,0
",",",",n,,
T'enclose,t'enclose,s,,
in,in,s,considrd,0
thy,thy,s,considrd,0
Dominions,dominions,s,,
such,such,s,,
as,as,s,considrd,0
rave,rave,n,strd,0
Through,through,s,,
bloods,bloods,s,strd,0
distemper,distemper,c,,
",",",",s,,
how,how,s,,
durst,durst,s,,
thou,thou,s,considrd,0
attempt,attempt,n,,
T'imprison,t'imprison,s,,
Entheus,entheus,c,,
",",",",s,,
whose,whose,s,,
rage,rage,s,,
is,is,s,considrd,0
exempt,exempt,n,,
From,from,s,,
vulgar,vulgar,s,,
censure,censure,c,,
?,?,s,,
it,it,s,,
is,is,s,considrd,0
all,all,s,,
divine,divine,n,strd,0
Full,full,s,,
of,of,s,considrd,0
celestial,celestial,s,strd,0
rapture,rapture,c,,
",",",",s,,
that,that,s,considrd,0
can,can,s,,
shine,shine,n,,
Through,through,s,,
darkest,darkest,s,,
shadows,shadows,c,strd,0
",",",",s,,
therefore,therefore,s,,
Jove,jove,s,strd,0
by,by,s,considrd,0
me,me,n,,
Commands,commands,s,,
thy,thy,s,considrd,0
power,power,s,,
strait,strait,s,,
to,to,s,considrd,0
set,set,s,,
Entheus,entheus,s,,
free,free,c,,
.,.,nn,,
How,how,s,,
can,can,s,,
I,i,c,considrd,0
?,?,s,,
Franticks,franticks,c,,
",",",",s,,
with,with,s,considrd,0
him,him,s,,
many,many,s,,
more,more,n,,
In,in,s,considrd,0
one,one,s,,
cave,cave,s,strd,0
are,are,s,,
locked,locked,s,strd,0
up,up,c,strd,0
",",",",s,,
open,open,s,strd,0
once,once,s,,
the,the,s,considrd,0
door,door,c,strd,0
",",",",n,,
All,all,s,,
will,will,s,,
fly,fly,s,strd,0
out,out,c,,
",",",",s,,
and,and,s,,
through,through,s,,
the,the,s,considrd,0
world,world,s,,
disturb,disturb,c,strd,0
",",",",n,,
The,the,s,considrd,0
peace,peace,s,,
of,of,s,considrd,0
Jove,jove,c,strd,0
;,;,s,,
for,for,c,considrd,0
",",",",s,,
what,what,s,,
power,power,s,,
then,then,s,,
can,can,s,,
curb,curb,n,strd,0
Their,their,s,considrd,0
rainelesse,rainelesse,s,,
fury,fury,c,strd,0
?,?,s,,
--,--,nn,,
--,--,s,,
Let,let,s,,
not,not,s,,
fear,fear,s,strd,0
in,in,s,considrd,0
vain,vain,n,strd,0
Trouble,trouble,s,,
thy,thy,s,considrd,0
crazed,crazed,s,,
fancy,fancy,c,strd,0
",",",",s,,
all,all,s,,
again,again,n,strd,0
Save,save,s,strd,0
Entheus,entheus,s,,
to,to,s,considrd,0
thy,thy,s,considrd,0
safeguard,safeguard,s,,
shall,shall,s,considrd,0
retire,retire,c,,
",",",",n,,
For,for,s,considrd,0
Jove,jove,s,strd,0
into,into,s,considrd,0
our,our,s,,
music,music,s,strd,0
will,will,s,,
inspire,inspire,n,,
The,the,s,considrd,0
power,power,s,,
of,of,s,considrd,0
passion,passion,c,,
",",",",s,,
that,that,s,considrd,0
their,their,s,considrd,0
thoughts,thoughts,s,,
shall,shall,s,considrd,0
bend,bend,n,,
To,to,s,considrd,0
any,any,s,,
form,form,s,strd,0
or,or,s,considrd,0
motion,motion,s,,
we,we,s,considrd,0
intend,intend,c,,
:,:,n,,
Obey,obey,s,,
Jove's,jove's,s,strd,0
willing,willing,s,,
then,then,c,,
",",",",s,,
go,go,c,,
",",",",s,,
set,set,s,,
Entheus,entheus,s,,
free,free,c,,
.,.,nn,,
I,i,s,considrd,0
willing,willing,s,,
go,go,c,,
",",",",s,,
so,so,s,,
Jove,jove,s,strd,0
obeyed,obeyed,s,strd,0
must,must,s,,
be,be,c,strd,0
.,.,nn,,
Let,let,s,,
Music,music,s,strd,0
put,put,s,,
on,on,s,,
Protean,protean,c,,
*,*,s,,
changes,changes,s,,
now,now,c,,
",",",",n,,
Wild,wild,s,strd,0
beasts,beasts,s,,
it,it,s,,
once,once,s,,
tamed,tamed,c,strd,0
",",",",s,,
now,now,s,,
let,let,s,,
Franticks,franticks,s,,
bow,bow,c,,
.,.,nn,,
At,at,s,considrd,0
the,the,s,considrd,0
sound,sound,s,,
of,of,s,considrd,0
a,a,s,considrd,0
strange,strange,s,,
music,music,s,strd,0
twelve,twelve,s,strd,0
Franticks,franticks,s,,
enter,enter,c,,
",",",",s,,
six,six,s,,
men,men,c,,
",",",",s,,
and,and,s,,
six,six,n,,
women,women,c,,
",",",",s,,
all,all,s,,
presented,presented,s,,
in,in,s,considrd,0
sundry,sundry,s,,
habits,habits,s,,
and,and,s,,
