token,tokenToMatch,endReason,tag,tagIndex
Is,is,s,considrd,0
seen,seen,s,strd,0
to,to,s,considrd,0
come,come,s,,
as,as,s,considrd,0
afar,afar,s,strd,0
off,off,c,,
",",",",s,,
accompanied,accompanied,s,,
with,with,n,considrd,0
Grace,grace,c,,
",",",",s,,
Love,love,c,,
",",",",s,,
Harmony,harmony,c,strd,0
",",",",s,,
Revell,revell,c,,
",",",",s,,
Sport,sport,c,,
",",",",s,,
Laughter,laughter,c,,
.,.,nn,,
Let,let,s,,
us,us,s,,
play,play,c,,
",",",",s,,
and,and,s,,
dance,dance,c,,
",",",",s,,
and,and,s,,
sing,sing,c,,
",",",",n,,
let,let,s,,
us,us,s,,
now,now,s,,
turn,turn,s,strd,0
every,every,s,,
sort,sort,c,,
;,;,n,,
OF,of,s,strd,0
the,the,s,considrd,0
pleasures,pleasures,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Spring,spring,c,,
",",",",n,,
to,to,s,considrd,0
the,the,s,considrd,0
graces,graces,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Court,court,c,,
.,.,n,,
From,from,s,,
air,air,c,strd,0
",",",",s,,
from,from,s,,
cloud,cloud,c,,
",",",",s,,
from,from,s,,
dreams,dreams,c,,
",",",",s,,
from,from,s,,
toys,toys,c,strd,0
",",",",n,,
to,to,s,considrd,0
sounds,sounds,c,,
",",",",s,,
to,to,s,considrd,0
sense,sense,c,strd,0
",",",",s,,
to,to,s,considrd,0
love,love,s,,
to,to,s,considrd,0
joys,joys,c,strd,0
;,;,n,,
Let,let,s,,
your,your,s,,
shows,shows,s,strd,0
be,be,s,considrd,0
new,new,c,considrd,0
",",",",s,,
as,as,s,considrd,0
strange,strange,c,,
",",",",n,,
let,let,s,,
them,them,s,,
often,often,s,strd,0
and,and,s,,
sweetly,sweetly,s,,
vary,vary,c,strd,0
;,;,n,,
Let,let,s,,
them,them,s,,
haste,haste,s,,
so,so,s,,
to,to,s,considrd,0
their,their,s,considrd,0
change,change,c,,
",",",",n,,
as,as,s,considrd,0
the,the,s,considrd,0
Seers,seers,s,,
may,may,s,,
not,not,s,,
tarry,tarry,c,strd,0
;,;,n,,
Too,too,s,,
long,long,s,,
to,to,s,strd,0
expect,expect,s,,
the,the,s,considrd,0
pleasing't,pleasing't,s,,
sight,sight,n,,
does,does,s,strd,0
take,take,s,considrd,0
away,away,s,,
from,from,s,,
the,the,s,considrd,0
delight,delight,c,,
.,.,n,,
Yet,yet,s,,
hear,hear,s,strd,0
what,what,s,,
your,your,s,,
delight,delight,s,,
does,does,s,strd,0
pray,pray,n,,
all,all,s,,
sour,sour,s,strd,0
and,and,s,,
sullen,sullen,s,,
looks,looks,s,,
away,away,c,,
",",",",n,,
that,that,s,considrd,0
are,are,s,,
the,the,s,considrd,0
servants,servants,s,,
of,of,s,considrd,0
the,the,s,considrd,0
day,day,c,,
",",",",n,,
Our,our,s,,
sports,sports,s,,
are,are,s,,
of,of,s,considrd,0
the,the,s,considrd,0
humorous,humorous,s,,
night,night,c,,
",",",",n,,
Who,who,s,considrd,0
feeds,feeds,s,,
the,the,s,considrd,0
stars,stars,s,,
that,that,s,considrd,0
give,give,s,,
her,her,s,,
light,light,c,,
",",",",n,,
and,and,s,,
uses,uses,s,strd,0
(,(,c,,
then,then,s,,
her,her,s,,
wont,wont,c,,
),),s,,
more,more,s,,
bright,bright,c,,
",",",",n,,
to,to,s,considrd,0
help,help,s,,
the,the,s,considrd,0
vision,vision,s,,
of,of,s,considrd,0
DELIGHT,delight,c,,
.,.,nn,,
See,see,c,,
",",",",s,,
see,see,s,,
her,her,s,,
Scepter,scepter,c,,
",",",",s,,
and,and,s,,
her,her,s,,
Crown,crown,n,strd,0
are,are,s,,
all,all,s,,
of,of,s,considrd,0
flame,flame,c,,
",",",",s,,
and,and,s,,
from,from,s,,
her,her,s,,
gown,gown,n,strd,0
a,a,s,considrd,0
train,train,s,strd,0
of,of,s,considrd,0
light,light,s,,
comes,comes,s,,
waving,waving,s,,
down,down,c,,
.,.,n,,
This,this,s,considrd,0
night,night,s,,
in,in,s,considrd,0
dew,dew,s,,
she,she,s,considrd,0
will,will,s,,
not,not,s,,
steep,steep,n,strd,0
The,the,s,considrd,0
brain,brain,c,strd,0
",",",",s,,
nor,nor,s,,
lock,lock,s,strd,0
the,the,s,considrd,0
sense,sense,s,strd,0
