token,tokenToMatch,endReason,tag,tagIndex
WHat,what,s,,
wonder,wonder,s,,
you,you,s,considrd,0
my,my,s,considrd,0
Lords,lords,c,considrd,0
?,?,s,,
why,why,s,,
gaze,gaze,s,,
you,you,s,considrd,0
gentlemen,gentlemen,c,,
?,?,n,,
And,and,s,,
wherefore,wherefore,s,,
marvel,marvel,s,strd,0
you,you,s,considrd,0
mez,mez,s,,
Dames,dames,c,,
",",",",s,,
I,i,s,considrd,0
pray,pray,s,,
you,you,s,considrd,0
tell,tell,s,,
me,me,s,,
then,then,c,,
?,?,n,,
Is,is,s,considrd,0
it,it,s,,
so,so,s,,
rare,rare,s,,
a,a,s,considrd,0
sight,sight,c,,
",",",",s,,
or,or,s,considrd,0
yet,yet,s,,
so,so,s,,
strange,strange,s,,
a,a,s,considrd,0
toy,toy,c,,
",",",",n,,
Amongst,amongst,s,,
so,so,s,,
many,many,s,,
noble,noble,s,,
peers,peers,c,strd,0
",",",",s,,
to,to,s,considrd,0
see,see,s,,
one,one,s,,
Pouer,pouer,s,,
Boy,boy,c,,
?,?,n,,
Why,why,c,,
?,?,s,,
boys,boys,s,strd,0
have,have,s,strd,0
been,been,s,strd,0
allowed,allowed,s,,
in,in,s,considrd,0
every,every,s,strd,0
kind,kind,s,,
of,of,s,considrd,0
age,age,c,,
",",",",n,,
As,as,s,considrd,0
Gany^ede,gany^ede,s,,
that,that,s,considrd,0
pretty,pretty,s,strd,0
boy,boy,c,,
",",",",s,,
in,in,s,considrd,0
Heaven,heaven,s,strd,0
is,is,s,considrd,0
Jove,jove,s,strd,0
his,his,s,considrd,0
page,page,c,,
.,.,n,,
Cupid,cupid,s,,
that,that,s,considrd,0
mighty,mighty,s,strd,0
God,god,s,,
although,although,s,,
his,his,s,considrd,0
force,force,s,,
be,be,s,considrd,0
fearse,fearse,c,,
",",",",n,,
Yet,yet,s,,
is,is,s,considrd,0
he,he,s,considrd,0
but,but,s,,
a,a,s,considrd,0
naked,naked,s,,
boy,boy,c,,
",",",",s,,
as,as,s,considrd,0
Poets,poets,s,,
do,do,s,,
rehearse,rehearse,c,,
.,.,n,,
And,and,s,,
many,many,s,,
a,a,s,considrd,0
pretty,pretty,s,strd,0
boy,boy,s,,
a,a,s,considrd,0
mighty,mighty,s,,
man,man,s,,
has,has,s,strd,0
proved,proved,c,strd,0
",",",",n,,
And,and,s,,
served,served,s,strd,0
his,his,s,considrd,0
Prince,prince,s,,
at,at,s,considrd,0
all,all,s,,
assayes,assayes,s,,
deserving,deserving,s,strd,0
to,to,s,considrd,0
be,be,s,considrd,0
loved,loved,c,strd,0
.,.,n,,
Percase,percase,s,,
my,my,s,considrd,0
strange,strange,s,,
attire,attire,s,,
my,my,s,considrd,0
glittering,glittering,s,,
golden,golden,s,,
gite,gite,c,,
",",",",n,,
Does,does,s,strd,0
either,either,s,,
make,make,s,,
you,you,s,considrd,0
marvel,marvel,s,strd,0
thus,thus,c,,
",",",",s,,
or,or,s,considrd,0
move,move,s,strd,0
you,you,s,considrd,0
with,with,s,considrd,0
delight,delight,c,strd,0
.,.,n,,
Yet,yet,s,,
wonder,wonder,s,,
not,not,s,,
my,my,s,considrd,0
Lords,lords,s,considrd,0
for,for,s,considrd,0
if,if,s,,
your,your,s,,
honors,honors,s,,
please,please,c,,
",",",",n,,
But,but,s,,
even,even,s,strd,0
to,to,s,considrd,0
give,give,s,strd,0
me,me,s,,
ear,ear,s,strd,0
awhile,awhile,c,,
",",",",s,,
I,i,s,considrd,0
will,will,s,,
your,your,s,,
doubts,doubts,s,,
apease,apease,c,,
.,.,n,,
And,and,s,,
you,you,s,considrd,0
shall,shall,s,considrd,0
know,know,s,,
the,the,s,considrd,0
cause,cause,c,,
",",",",s,,
wherefore,wherefore,s,,
these,these,s,,
robes,robes,s,,
are,are,s,,
worn,worn,c,strd,0
",",",",n,,
And,and,s,,
why,why,s,,
I,i,s,considrd,0
go,go,s,,
outlandish,outlandish,s,,
like,like,c,,
",",",",s,,
yet,yet,s,,
being,being,s,,
english,english,s,,
borne,borne,c,,
.,.,n,,
And,and,s,,
why,why,s,,
I,i,s,considrd,0
thus,thus,s,,
presume,presume,c,,
",",",",s,,
to,to,s,considrd,0
press,press,s,strd,0
into,into,s,considrd,0
this,this,s,considrd,0
place,place,c,,
",",",",n,,
And,and,s,,
why,why,s,,
I,i,s,considrd,0
(,(,c,,
simple,simple,s,,
boy,boy,c,,
),),s,,
am,am,s,,
bold,bold,s,,
to,to,s,considrd,0
look,look,s,strd,0
such,such,s,,
men,men,s,,
in,in,s,considrd,0
face,face,c,,
.,.,n,,
First,first,s,,
then,then,s,,
you,you,s,considrd,0
must,must,s,,
per,per,s,,
stand,stand,c,strd,0
",",",",s,,
I,i,s,considrd,0
am,am,s,,
no,no,s,considrd,0
stranger,stranger,s,,
I,i,c,considrd,0
",",",",n,,
But,but,s,,
english,english,s,,
boy,boy,c,,
",",",",s,,
in,in,s,considrd,0
England,england,s,,
borne,borne,c,,
",",",",s,,
and,and,s,,
bred,bred,s,,
but,but,s,,
even,even,s,strd,0
hereby,hereby,c,,
.,.,n,,
My,my,s,considrd,0
father,father,s,,
was,was,s,,
a,a,s,considrd,0
knight,knight,s,,
Mount,mount,s,,
Hermer,hermer,s,,
was,was,s,,
his,his,s,considrd,0
name,name,c,,
",",",",n,,
My,my,s,considrd,0
mother,mother,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Mountacutes,mountacutes,c,,
",",",",s,,
a,a,s,considrd,0
house,house,s,,
of,of,s,considrd,0
worthy,worthy,s,,
fame,fame,c,,
.,.,n,,
My,my,s,considrd,0
father,father,s,,
from,from,s,,
his,his,s,considrd,0
youth,youth,s,,
was,was,s,,
trained,trained,s,,
up,up,s,strd,0
in,in,s,considrd,0
field,field,c,,
",",",",n,,
And,and,s,,
always,always,s,,
took,took,s,strd,0
his,his,s,considrd,0
chief,chief,s,strd,0
delight,delight,c,,
",",",",s,,
in,in,s,considrd,0
helmet,helmet,s,,
spear,spear,s,strd,0
and,and,s,,
shield,shield,c,strd,0
.,.,n,,
Soldado,soldado,s,,
for,for,s,considrd,0
his,his,s,considrd,0
life,life,c,,
",",",",s,,
and,and,s,,
in,in,s,considrd,0
his,his,s,considrd,0
happy,happy,s,strd,0
