token,tokenToMatch,endReason,tag,tagIndex
THE,the,s,considrd,0
MAGNETIC,magnetic,s,strd,0
LADY,lady,c,,
:,:,s,,
OR,or,c,considrd,0
",",",",s,,
HVMORS,hvmors,s,,
RECONCILED,reconciled,c,strd,0
.,.,nn,,
A,a,s,considrd,0
COMEDY,comedy,s,,
composed,composed,s,,
By,by,s,considrd,0
BEN,ben,c,,
:,:,s,,
JOHNSON,johnson,c,strd,0
.,.,nn,,
I,i,s,considrd,0
am,am,s,,
lapides,lapides,s,,
suus,suus,s,,
ardor,ardor,s,,
agit,agit,s,,
ferrumque,ferrumque,s,,
tenetur,tenetur,c,,
",",",",n,,
Illecebris,illecebris,c,,
.,.,s,,
--,--,n,,
LONDON,london,c,,
",",",",s,,
Printed,printed,s,,
M,m,c,,
.,.,c,,
CD,cd,c,,
.,.,c,,
XL,xl,c,,
.,.,nn,,
CHORUS,chorus,s,strd,0
by,by,s,considrd,0
way,way,s,,
of,of,s,considrd,0
Induction,induction,c,,
.,.,nn,,
What,what,s,,
do,do,s,strd,0
you,you,s,considrd,0
lack,lack,c,,
",",",",s,,
Gentlemen,gentlemen,c,,
?,?,s,,
what,what,s,,
is,is,s,strd,0
it,it,s,strd,1
you,you,s,considrd,0
lack,lack,c,,
?,?,s,,
any,any,s,,
fine,fine,s,,
Phansies,phansies,c,,
",",",",s,,
Figures,figures,c,,
",",",",n,,
Humors,humors,c,,
",",",",s,,
Characters,characters,c,,
",",",",s,,
Idaeas,idaeas,c,,
",",",",s,,
Definitions,definitions,s,,
of,of,s,considrd,0
Lords,lords,c,considrd,0
",",",",s,,
and,and,s,,
Ladies,ladies,c,,
?,?,s,,
Waiting-women,waiting-women,c,,
",",",",n,,
Parasites,parasites,c,,
",",",",s,,
Knights,knights,c,,
",",",",s,,
Captains,captains,c,strd,0
",",",",s,,
Courtiers,courtiers,c,,
",",",",s,,
Lawyers,lawyers,c,,
?,?,s,,
what,what,s,,
do,do,s,strd,0
you,you,s,considrd,0
lack,lack,nnn,,
A,a,s,considrd,0
pretty,pretty,s,,
prompt,prompt,s,,
Boy,boy,s,,
for,for,s,considrd,0
the,the,s,considrd,0
Poetique,poetique,s,,
Shop,shop,c,,
.,.,nnn,,
And,and,s,,
a,a,s,considrd,0
bold,bold,c,,
!,!,s,,
where,where,s,strd,0
is,is,s,strd,1
one,one,s,,
of,of,s,strd,0
your,your,s,,
Masters,masters,c,,
",",",",s,,
Sirrah,sirrah,c,,
",",",",s,,
the,the,s,considrd,0
Poet,poet,c,,
?,?,nn,,
Which,which,s,considrd,0
of,of,s,considrd,0
'hem,'hem,c,,
?,?,s,,
Sir,sir,s,,
we,we,s,strd,0
have,have,s,considrd,0
diverse,diverse,s,strd,0
that,that,s,considrd,0
drive,drive,s,,
that,that,s,considrd,0
trade,trade,c,,
",",",",s,,
now,now,c,,
:,:,s,,
Poets,poets,c,,
",",",",n,,
Poet'accios,poet'accios,c,,
",",",",s,,
Poetasters,poetasters,c,,
",",",",s,,
Poetito's,poetito's,s,,
--,--,nnn,,
And,and,s,,
all,all,s,,
Haberdashers,haberdashers,s,,
of,of,s,considrd,0
small,small,s,,
wit,wit,c,,
",",",",s,,
I,i,s,considrd,0
presume,presume,c,,
:,:,s,,
we,we,s,strd,0
would,would,s,,
speak,speak,s,strd,0
with,with,s,considrd,0
the,the,s,considrd,0
Poet,poet,n,,
of,of,s,strd,0
the,the,s,considrd,0
day,day,c,,
",",",",s,,
Boy,boy,nnn,,
Sir,sir,c,,
",",",",s,,
he,he,s,strd,0
is,is,s,considrd,0
not,not,s,,
here,here,c,,
.,.,s,,
But,but,c,,
",",",",s,,
