token,tokenToMatch,endReason,tag,tagIndex
Son,son,c,strd,0
",",",",s,,
I,i,s,considrd,0
tell,tell,s,,
ye,ye,s,,
you,you,s,considrd,0
have,have,s,strd,0
done,done,s,,
you,you,s,considrd,0
know,know,s,,
not,not,s,,
what,what,c,,
:,:,nn,,
I,i,s,considrd,0
have,have,s,strd,0
married,married,s,,
a,a,s,considrd,0
woman,woman,c,,
",",",",s,,
else,else,s,,
I,i,s,considrd,0
am,am,s,,
decesue^,decesue^,s,,
mot^er,mot^er,c,,
.,.,nnn,,
Married,married,s,,
a,a,s,considrd,0
woman,woman,c,,
?,?,s,,
married,married,s,,
indeed,indeed,c,,
",",",",n,,
Here,here,s,,
is,is,s,considrd,0
a,a,s,considrd,0
marriage,marriage,s,,
that,that,s,considrd,0
befits,befits,s,,
a,a,s,considrd,0
King,king,c,,
:,:,n,,
It,it,s,,
is,is,s,considrd,0
no,no,s,considrd,0
matudile,matudile,s,,
it,it,s,,
was,was,s,,
done,done,s,,
in,in,s,considrd,0
haste,haste,c,,
",",",",n,,
Here,here,s,,
is,is,s,considrd,0
a,a,s,considrd,0
B^dall,b^dall,s,,
and,and,s,,
with,with,s,considrd,0
hell,hell,s,,
to,to,s,considrd,0
boot,boot,c,strd,0
",",",",n,,
You,you,s,considrd,0
have,have,s,strd,0
mad^,mad^,s,,
work,work,c,strd,0
?,?,nn,,
Faith,faith,s,,
mother,mother,s,,
some,some,s,,
we,we,s,considrd,0
have,have,s,strd,0
indeed,indeed,c,,
",",",",s,,
but,but,s,,
ere,ere,s,,
long,long,s,,
you,you,s,considrd,0
shall,shall,s,considrd,0
see,see,s,,
us,us,s,strd,0
make,make,s,,
work,work,s,strd,0
for,for,n,considrd,0
an,an,s,,
heir,heir,s,strd,0
apparent,apparent,s,strd,0
I,i,s,considrd,0
doubt,doubt,s,,
not,not,c,,
",",",",s,,
nay,nay,c,,
",",",",s,,
nay,nay,c,,
",",",",s,,
come-come,come-come,c,,
",",",",s,,
Gods,gods,s,considrd,0
will,will,s,,
what,what,s,,
